WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,2018-12-31,International,Outdoor,Hard,1st Round,3,Puig M.,Mattek-Sands B.,53.0,350.0,1010.0,109.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.36,3.0,1.38,3.29,1.43,3.29,1.37,3.09
1,Auckland,ASB Classic,2018-12-31,International,Outdoor,Hard,1st Round,3,Davis L.,Arruabarrena L.,173.0,82.0,340.0,731.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.44,2.62,1.55,2.6,1.57,2.88,1.5,2.59
1,Auckland,ASB Classic,2018-12-31,International,Outdoor,Hard,1st Round,3,Kuzmova V.,Zidansek T.,50.0,79.0,1052.0,752.0,6.0,2.0,7.0,6.0,,,2.0,0.0,Completed,1.61,2.2,1.65,2.36,1.68,2.5,1.62,2.28
1,Auckland,ASB Classic,2018-12-31,International,Outdoor,Hard,1st Round,3,Bouchard E.,Brengle M.,87.0,88.0,692.0,676.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.5,2.5,1.55,2.62,1.66,2.75,1.53,2.51
1,Auckland,ASB Classic,2018-12-31,International,Outdoor,Hard,1st Round,3,Sorribes Tormo S.,Voegele S.,86.0,83.0,700.0,727.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,2.25,1.57,2.4,1.63,3.27,1.65,2.35,1.59
1,Auckland,ASB Classic,2019-01-01,International,Outdoor,Hard,1st Round,3,Kenin S.,Martic P.,52.0,32.0,1024.0,1465.0,7.0,5.0,2.0,6.0,6.0,2.0,2.0,1.0,Completed,2.0,1.72,2.13,1.79,2.15,1.83,2.03,1.78
1,Auckland,ASB Classic,2019-01-01,International,Outdoor,Hard,1st Round,3,Flipkens K.,Vickery S.,47.0,101.0,1058.0,610.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,,,1.87,2.03,1.91,2.13,1.83,1.98
1,Auckland,ASB Classic,2019-01-01,International,Outdoor,Hard,1st Round,3,Strycova B.,Townsend T.,33.0,90.0,1460.0,673.0,6.0,2.0,6.0,7.0,6.0,3.0,2.0,1.0,Completed,1.3,3.4,1.3,3.82,1.33,3.82,1.31,3.5
1,Auckland,ASB Classic,2019-01-01,International,Outdoor,Hard,1st Round,3,Schoofs B.,Van Uytvanck A.,174.0,49.0,329.0,1055.0,3.0,4.0,,,,,0.0,0.0,Retired,2.62,1.44,2.85,1.47,2.85,1.52,2.68,1.47
1,Auckland,ASB Classic,2019-01-01,International,Outdoor,Hard,1st Round,3,Hsieh S.W.,Hercog P.,28.0,85.0,1640.0,715.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.5,2.5,1.61,2.45,1.63,2.63,1.55,2.46
