WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Kasatkina D.,Suarez Navarro C.,70.0,52.0,851.0,1048.0,6.0,3.0,3.0,6.0,6.0,2.0,2.0,1.0,Completed,1.61,2.2,1.63,2.4,1.67,2.4,1.61,2.3
1,Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Pegula J.,Bellis C.,82.0,855.0,743.0,19.0,6.0,0.0,6.0,4.0,,,2.0,0.0,Completed,2.37,1.53,2.64,1.54,2.64,1.66,2.41,1.56
1,Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Garcia C.,Townsend T.,46.0,77.0,1235.0,760.0,5.0,7.0,6.0,3.0,7.0,5.0,2.0,1.0,Completed,1.9,1.8,2.01,1.88,2.05,1.91,1.94,1.85
1,Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Zidansek T.,Peterson R.,64.0,44.0,870.0,1275.0,7.0,6.0,7.0,6.0,,,2.0,0.0,Completed,3.0,1.36,3.49,1.35,3.6,1.36,3.29,1.33
1,Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Teichmann J.,Ivanov V.,68.0,1001.0,855.0,12.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.04,13.0,1.07,10.25,1.08,13.0,1.06,9.42
1,Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Gauff C.,Kuzmova V.,67.0,61.0,855.0,965.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.72,2.0,1.78,2.13,1.78,2.2,1.68,2.16
1,Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Bouchard E.,Flipkens K.,262.0,72.0,223.0,819.0,7.0,5.0,7.0,5.0,,,2.0,0.0,Completed,2.5,1.5,2.9,1.46,2.95,1.58,2.72,1.45
1,Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Martic P.,Arconada U.M.,15.0,135.0,2617.0,459.0,5.0,7.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,1.18,4.5,1.2,5.04,1.23,5.04,1.19,4.62
1,Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Cornet A.,Bonaventure Y.,57.0,116.0,1015.0,574.0,4.0,6.0,7.0,5.0,6.0,3.0,2.0,1.0,Completed,1.5,2.5,1.57,2.54,1.63,2.56,1.54,2.45
1,Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Anisimova A.,Kozlova K.,25.0,89.0,1734.0,710.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.25,3.75,1.26,4.2,1.3,4.2,1.25,3.86
1,Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Williams S.,Giorgi C.,10.0,99.0,3935.0,680.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.22,4.0,1.24,4.51,1.26,5.3,1.22,4.21
1,Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Siegemund L.,Mcnally C.,73.0,118.0,805.0,539.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,2.0,1.72,2.08,1.81,2.12,1.81,2.05,1.75
1,Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Mchale C.,Li A.,86.0,145.0,720.0,414.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,2.37,1.53,2.53,1.58,2.8,1.7,2.42,1.55
1,Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Hourigan P.M.,39.0,447.0,1353.0,92.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.03,15.0,1.02,19.14,1.03,24.25,1.02,15.27
1,Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Davis L.,Lepchenko V.,63.0,170.0,874.0,354.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.57,2.25,1.69,2.28,1.71,2.39,1.64,2.23
1,Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Goerges J.,Minnen G.,41.0,109.0,1331.0,599.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,1.57,2.25,1.65,2.37,1.67,2.54,1.59,2.33
1,Auckland,ASB Classic,2020-01-08,International,Outdoor,Hard,2nd Round,3,Cornet A.,Martic P.,57.0,15.0,1015.0,2617.0,3.0,6.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,2.75,1.4,2.76,1.51,2.86,1.56,2.63,1.48
1,Auckland,ASB Classic,2020-01-08,International,Outdoor,Hard,2nd Round,3,Pegula J.,Zidansek T.,82.0,64.0,743.0,870.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.53,2.37,1.6,2.5,1.68,2.5,1.57,2.38
1,Auckland,ASB Classic,2020-01-08,International,Outdoor,Hard,2nd Round,3,Bouchard E.,Garcia C.,262.0,46.0,223.0,1235.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,2.5,1.5,2.8,1.5,2.8,1.56,2.61,1.49
1,Auckland,ASB Classic,2020-01-08,International,Outdoor,Hard,2nd Round,3,Anisimova A.,Kasatkina D.,25.0,70.0,1734.0,851.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.4,2.75,1.49,2.83,1.52,2.9,1.46,2.68
1,Auckland,ASB Classic,2020-01-09,International,Outdoor,Hard,2nd Round,3,Siegemund L.,Gauff C.,73.0,67.0,805.0,855.0,5.0,7.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,2.62,1.44,3.07,1.43,3.11,1.49,2.83,1.42
1,Auckland,ASB Classic,2020-01-09,International,Outdoor,Hard,2nd Round,3,Williams S.,Mchale C.,10.0,86.0,3935.0,720.0,3.0,6.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,1.11,6.5,1.1,8.38,1.12,8.5,1.1,7.08
1,Auckland,ASB Classic,2020-01-09,International,Outdoor,Hard,2nd Round,3,Goerges J.,Teichmann J.,41.0,68.0,1331.0,855.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.28,3.5,1.3,3.88,1.36,4.0,1.29,3.56
1,Auckland,ASB Classic,2020-01-09,International,Outdoor,Hard,2nd Round,3,Wozniacki C.,Davis L.,39.0,63.0,1353.0,874.0,6.0,1.0,4.0,6.0,6.0,4.0,2.0,1.0,Completed,1.3,3.4,1.31,3.8,1.35,4.03,1.29,3.55
1,Auckland,ASB Classic,2020-01-10,International,Outdoor,Hard,Quarterfinals,3,Pegula J.,Cornet A.,82.0,57.0,743.0,1015.0,6.0,0.0,3.0,2.0,,,1.0,0.0,Retired,2.0,1.8,2.14,1.81,2.25,1.85,2.04,1.77
1,Auckland,ASB Classic,2020-01-10,International,Outdoor,Hard,Quarterfinals,3,Williams S.,Siegemund L.,10.0,73.0,3935.0,805.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.12,6.0,1.12,8.06,1.14,8.06,1.1,7.07
1,Auckland,ASB Classic,2020-01-10,International,Outdoor,Hard,Quarterfinals,3,Wozniacki C.,Goerges J.,39.0,41.0,1353.0,1331.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,2.0,1.8,2.17,1.79,2.17,1.85,2.08,1.74
1,Auckland,ASB Classic,2020-01-10,International,Outdoor,Hard,Quarterfinals,3,Anisimova A.,Bouchard E.,25.0,262.0,1734.0,223.0,6.0,2.0,3.0,6.0,6.0,4.0,2.0,1.0,Completed,1.3,3.5,1.3,4.02,1.33,4.03,1.28,3.66
1,Auckland,ASB Classic,2020-01-11,International,Outdoor,Hard,Semifinals,3,Pegula J.,Wozniacki C.,82.0,39.0,743.0,1353.0,3.0,6.0,6.0,4.0,6.0,0.0,2.0,1.0,Completed,3.75,1.28,3.96,1.3,3.96,1.33,3.56,1.29
